barangay,purok
Baucan Norte,1
Baucan Norte,2
Baucan Norte,3
Baucan Norte,4
Baucan Norte,5
Baucan Norte,6
Baucan Sur,1
Baucan Sur,2
Baucan Sur,3
Baucan Sur,4
Baucan Sur,5
Baucan Sur,6
Boctol,1
Boctol,2
Boctol,3
Boctol,4
Boctol,5
Boctol,6
Boyog Norte,1
Boyog Norte,2
Boyog Norte,3
Boyog Norte,4
Boyog Norte,5
Boyog Norte,6
Boyog Proper,1
Boyog Proper,2
Boyog Proper,3
Boyog Proper,4
Boyog Proper,5
Boyog Proper,6
Boyog Sur,1
Boyog Sur,2
Boyog Sur,3
Boyog Sur,4
Boyog Sur,5
Boyog Sur,6
Cabad,1
Cabad,2
Cabad,3
Cabad,4
Cabad,5
Cabad,6
Candasig,1
Candasig,2
Candasig,3
Candasig,4
Candasig,5
Candasig,6
Cantalid,1
Cantalid,2
Cantalid,3
Cantalid,4
Cantalid,5
Cantalid,6
Cantomimbo,1
Cantomimbo,2
Cantomimbo,3
Cantomimbo,4
Cantomimbo,5
Cantomimbo,6
Cogon,1
Cogon,2
Cogon,3
Cogon,4
Cogon,5
Cogon,6
Datag Norte,1
Datag Norte,2
Datag Norte,3
Datag Norte,4
Datag Norte,5
Datag Norte,6
Datag Sur,1
Datag Sur,2
Datag Sur,3
Datag Sur,4
Datag Sur,5
Datag Sur,6
Del Carmen Este (Poblacion),1
Del Carmen Este (Poblacion),2
Del Carmen Este (Poblacion),3
Del Carmen Este (Poblacion),4
Del Carmen Este (Poblacion),5
Del Carmen Este (Poblacion),6
Del Carmen Norte (Poblacion),1
Del Carmen Norte (Poblacion),2
Del Carmen Norte (Poblacion),3
Del Carmen Norte (Poblacion),4
Del Carmen Norte (Poblacion),5
Del Carmen Norte (Poblacion),6
Del Carmen Sur (Poblacion),1
Del Carmen Sur (Poblacion),2
Del Carmen Sur (Poblacion),3
Del Carmen Sur (Poblacion),4
Del Carmen Sur (Poblacion),5
Del Carmen Sur (Poblacion),6
Del Carmen Weste (Poblacion),1
Del Carmen Weste (Poblacion),2
Del Carmen Weste (Poblacion),3
Del Carmen Weste (Poblacion),4
Del Carmen Weste (Poblacion),5
Del Carmen Weste (Poblacion),6
Del Rosario,1
Del Rosario,2
Del Rosario,3
Del Rosario,4
Del Rosario,5
Del Rosario,6
Dorol,1
Dorol,2
Dorol,3
Dorol,4
Dorol,5
Dorol,6
Haguilanan Grande,1
Haguilanan Grande,2
Haguilanan Grande,3
Haguilanan Grande,4
Haguilanan Grande,5
Haguilanan Grande,6
Hanopol Este,1
Hanopol Este,2
Hanopol Este,3
Hanopol Este,4
Hanopol Este,5
Hanopol Este,6
Hanopol Norte,1
Hanopol Norte,2
Hanopol Norte,3
Hanopol Norte,4
Hanopol Norte,5
Hanopol Norte,6
Hanopol Weste,1
Hanopol Weste,2
Hanopol Weste,3
Hanopol Weste,4
Hanopol Weste,5
Hanopol Weste,6
Magsija,1
Magsija,2
Magsija,3
Magsija,4
Magsija,5
Magsija,6
Maslog,1
Maslog,2
Maslog,3
Maslog,4
Maslog,5
Maslog,6
Sagasa,1
Sagasa,2
Sagasa,3
Sagasa,4
Sagasa,5
Sagasa,6
Sal-ing,1
Sal-ing,2
Sal-ing,3
Sal-ing,4
Sal-ing,5
Sal-ing,6
San Isidro,1
San Isidro,2
San Isidro,3
San Isidro,4
San Isidro,5
San Isidro,6
San Roque,1
San Roque,2
San Roque,3
San Roque,4
San Roque,5
San Roque,6
Santo Niño,1
Santo Niño,2
Santo Niño,3
Santo Niño,4
Santo Niño,5
Santo Niño,6
Tagustusan,1
Tagustusan,2
Tagustusan,3
Tagustusan,4
Tagustusan,5
Tagustusan,6
